Year;Week;Time;Mortality;Influenza;Temperature deficit 
2002;16;2002,288462;1875;51;0,0
2002;17;2002,307692;1861;37;0,0
2002;18;2002,326923;1713;15;0,0
2002;19;2002,346154;1759;8;0,0
2002;20;2002,365385;1690;0;0,0
2002;21;2002,384615;1748;0;0,0
2002;22;2002,403846;1657;0;0,0
2002;23;2002,423077;1683;0;0,0
2002;24;2002,442308;1617;0;0,0
2002;25;2002,461538;1622;0;0,0
2002;26;2002,480769;1631;0;0,0
2002;27;2002,5;1651;0;0,0
2002;28;2002,519231;1682;0;0,0
2002;29;2002,538462;1730;0;0,0
2002;30;2002,557692;1648;0;0,0
2002;31;2002,576923;1772;0;0,0
2002;32;2002,596154;1710;0;0,0
2002;33;2002,615385;1759;0;0,0
2002;34;2002,634615;1659;0;0,0
2002;35;2002,653846;1702;0;0,0
2002;36;2002,673077;1649;0;0,0
2002;37;2002,692308;1642;0;0,0
2002;38;2002,711538;1655;0;0,0
2002;39;2002,730769;1686;0;0,0
2002;40;2002,75;1750;0;0,0
2002;41;2002,769231;1783;0;0,0
2002;42;2002,788462;1798;0;0,0
2002;43;2002,807692;1892;0;0,0
2002;44;2002,826923;1854;1;0,0
2002;45;2002,846154;1763;0;0,0
2002;46;2002,865385;1813;1;0,0
2002;47;2002,884615;1822;0;0,0
2002;48;2002,903846;1770;2;0,0
2002;49;2002,923077;1806;0;0,0
2002;50;2002,942308;1943;1;1,1
2002;51;2002,961538;1955;1;1,1
2002;52;2002,980769;2105;3;2,8
2003;1;2003;2267;8;9,6
2003;2;2003,019231;2240;7;4,4
2003;3;2003,038462;2107;18;0,0
2003;4;2003,057692;1993;17;0,0
2003;5;2003,076923;1953;19;2,5
2003;6;2003,096154;1998;25;2,0
2003;7;2003,115385;1854;45;0,9
2003;8;2003,134615;1878;41;0,6
2003;9;2003,153846;1846;45;1,8
2003;10;2003,173077;1845;49;0,0
2003;11;2003,192308;1937;52;0,0
2003;12;2003,211538;1798;43;0,0
2003;13;2003,230769;1885;41;0,0
2003;14;2003,25;1838;31;0,0
2003;15;2003,269231;1818;25;0,0
2003;16;2003,288462;1764;30;0,0
2003;17;2003,307692;1756;17;0,0
2003;18;2003,326923;1741;15;0,0
2003;19;2003,346154;1687;9;0,0
2003;20;2003,365385;1590;8;0,0
2003;21;2003,384615;1632;0;0,0
2003;22;2003,403846;1619;0;0,0
2003;23;2003,423077;1617;0;0,0
2003;24;2003,442308;1583;0;0,0
2003;25;2003,461538;1607;0;0,0
2003;26;2003,480769;1614;0;0,0
2003;27;2003,5;1672;0;0,0
2003;28;2003,519231;1587;0;0,0
2003;29;2003,538462;1737;0;0,0
2003;30;2003,557692;1684;0;0,0
2003;31;2003,576923;1672;0;0,0
2003;32;2003,596154;1582;0;0,0
2003;33;2003,615385;1682;0;0,0
2003;34;2003,634615;1599;0;0,0
2003;35;2003,653846;1598;0;0,0
2003;36;2003,673077;1690;0;0,0
2003;37;2003,692308;1689;0;0,0
2003;38;2003,711538;1642;0;0,0
2003;39;2003,730769;1724;0;0,0
2003;40;2003,75;1676;0;0,0
2003;41;2003,769231;1702;0;0,0
2003;42;2003,788462;1723;0;0,0
2003;43;2003,807692;1743;2;0,0
